Title,Abstract,Date,Industries,Link,Processed ,Source,Technology Category
Pickle Robot adds Tesla veteran as first CFO,Jeff Evanson recently joined Pickle Robot as the company's first CFO as the startup has allegedly expanded its partnership with UPS.,"December 19, 2025 5:01 AM (GMT+9)","AI, Elon Musk, Hardware, In Brief, Pickle Robot, Robotics, Tesla, UPS",https://techcrunch.com/2025/12/18/pickle-robot-adds-tesla-veteran-as-first-cfo/,Yes,techcrunch,Robotics
Inside CES 2026’s “physical AI” takeover,"After years of chatbots and image generators, AI is finally leaving the screen. At CES 2026, that shift became impossible to ignore.  The annual tech showcase in Las Vegas was dominated by “physical AI” and robotics, from Boston Dynamic’s newly redesigned Atlas humanoid robot to AI-powered ice makers (yes, really). The companies in attendance clearly want consumers […]","January 9, 2026 10:19 AM (GMT+9)","AI, Equity Video, OpenAI, Robotics, ces 2026, humanoid robotics, nvidia, physical ai",https://techcrunch.com/video/inside-ces-2026s-physical-ai-takeover/,Yes,techcrunch,Robotics
Oshen built the first ocean robot to collect data in a Category 5 hurricane,Oshen has signed contracts with multiple government agencies for its C-Star robots to collect ocean data autonomously.,"January 18, 2026 1:00 AM (GMT+9)","Climate, Hardware, NOAA, Oshen, Robotics, marine robotics, ocean robots",https://techcrunch.com/2026/01/17/oshen-built-the-first-ocean-robot-to-collect-data-in-a-category-5-hurricane/,Yes,techcrunch,Robotics
How YC-backed Bucket Robotics survived its first CES,"Now, the startup is turning its attention to building the business, fundraising, and striking commercial deals.","January 19, 2026 1:10 AM (GMT+9)","Robotics, Startups, Transportation, Y Combinator, bucket robotics, ces 2026",https://techcrunch.com/2026/01/18/how-yc-backed-bucket-robotics-survived-its-first-ces/,Yes,techcrunch,Robotics
Upside Robotics is reducing fertilizer use and waste in corn crops,Upside Robotics builds autonomous solar-powered robots that can help farmers reduce their fertilizer use by 70%.,"February 12, 2026 1:00 AM (GMT+9)","AgTech, Climate, Exclusive, Robotics, Startups, startup fundraising",https://techcrunch.com/2026/02/11/upside-robotics-is-reducing-fertilizer-use-and-waste-in-corn-crops/,Yes,techcrunch,Robotics
Qualcomm’s partnership with Neura Robotics is just the beginning,Neura Robotics is going to build new robots on top of Qualcomm's new IQ10 processors that were released at CES.,"March 10, 2026 12:58 AM (GMT+9)","AI, Neura Robotics, Qualcomm, Robotics, humanoids, nvidia",https://techcrunch.com/2026/03/09/qualcomms-partnership-with-neura-robotics-is-just-the-beginning/,Yes,techcrunch,Robotics
Building a strong data infrastructure for AI agent success,"In the race to adopt and show value from AI, enterprises are moving faster than ever to deploy agentic AI as copilots, assistants, and autonomous task-runners. In late 2025, nearly two-thirds of companies were experimenting with AI agents, while 88% were using AI in at least one business function, up from 78% in 2024, according…","March 10, 2026 11:00 PM (GMT+9)","artificial intelligence, sponsored",https://www.technologyreview.com/2026/03/10/1134083/building-a-strong-data-infrastructure-for-ai-agent-success/,Yes,MIT,Robotics
"The Download: Pokémon Go to train world models, and the US-China race to find aliens","This is today’s edition of The Download, our weekday newsletter that provides a daily dose of what’s going on in the world of technology. How Pokémon Go is giving delivery robots an inch-perfect view of the world  Pokémon Go was the world’s first augmented-reality megahit. Released in 2016 by Niantic, the AR twist on the…","March 11, 2026 9:38 PM (GMT+9)",The Download,https://www.technologyreview.com/2026/03/11/1134174/the-download-pokemon-go-train-world-models-us-china-race-find-aliens/,Yes,MIT,Robotics
Hustlers are cashing in on China’s OpenClaw AI craze,"Feng Qingyang had always hoped to launch his own company, but he never thought this would be how—or that the day would come this fast.  Feng, a 27-year-old software engineer based in Beijing, started tinkering with OpenClaw, a popular new open-source AI tool that can take over a device and autonomously complete tasks for a…","March 11, 2026 9:46 PM (GMT+9)","App, artificial intelligence",https://www.technologyreview.com/2026/03/11/1134179/china-openclaw-gold-rush/,Yes,MIT,Robotics
Brutal times for the US battery industry,"Just a few years ago, the battery industry was hot, hot, hot. There was a seemingly infinite number of companies popping up, with shiny new chemistries and massive fundraising rounds. My biggest problem was sifting through the pile to pick the most exciting news to cover. That tide has turned, and in 2026, what seems…","March 12, 2026 7:00 PM (GMT+9)","App, Climate change and energy, The Spark",https://www.technologyreview.com/2026/03/12/1134197/us-battery-industry/,Yes,MIT,Robotics
Pragmatic by design: Engineering AI for the real world,"The impact of artificial intelligence extends far beyond the digital world and into our everyday lives, across the cars we drive, the appliances in our homes, and medical devices that keep people alive. More and more, product engineers are turning to AI to enhance, validate, and streamline the design of the items that furnish our…","March 12, 2026 10:00 PM (GMT+9)","artificial intelligence, sponsored",https://www.technologyreview.com/2026/03/12/1133675/pragmatic-by-design-engineering-ai-for-the-real-world/,Yes,MIT,Robotics
"The Download: Early adopters cash in on China’s OpenClaw craze, and US batteries slump","This is today’s edition of The Download, our weekday newsletter that provides a daily dose of what’s going on in the world of technology. Hustlers are cashing in on China’s OpenClaw AI craze  In January, Beijing-based software engineer Feng Qingyang started tinkering with OpenClaw, a new AI tool that can take over a device and autonomously complete tasks.…","March 12, 2026 10:02 PM (GMT+9)",The Download,https://www.technologyreview.com/2026/03/12/1134207/the-download-china-openclaw-ai-craze-us-battery-industry-downturn/,Yes,MIT,Robotics
A defense official reveals how AI chatbots could be used for targeting decisions,"The US military might use generative AI systems to rank lists of targets and make recommendations—which would be vetted by humans—about which to strike first, according to a Defense Department official with knowledge of the matter. The disclosure about how the military may use AI chatbots comes as the Pentagon faces scrutiny over a strike…","March 13, 2026 7:23 AM (GMT+9)","App, artificial intelligence",https://www.technologyreview.com/2026/03/12/1134243/defense-official-military-use-ai-chatbots-targeting-decisions/,Yes,MIT,Robotics
Future AI chips could be built on glass,"Human-made glass is thousands of years old. But it’s now poised to find its way into the AI chips used in the world’s newest and largest data centers. This year, a South Korean company called Absolics is planning to start commercial production of special glass panels designed to make next-generation computing hardware more powerful and…","March 13, 2026 6:00 PM (GMT+9)","App, Computing",https://www.technologyreview.com/2026/03/13/1134230/future-ai-chips-could-be-built-on-glass/,Yes,MIT,Robotics
"The Download: how AI is used for military targeting, and the Pentagon’s war on Claude","This is today’s edition of The Download, our weekday newsletter that provides a daily dose of what’s going on in the world of technology. Defense official reveals how AI chatbots could be used for targeting decisions  The US military might use generative AI systems to rank targets and recommend which to strike first, according to a Defense Department…","March 13, 2026 9:16 PM (GMT+9)",The Download,https://www.technologyreview.com/2026/03/13/1134278/the-download-defense-official-ai-chatbots-targeting-pentagon-claude-pollute-military-supply-chain/,Yes,MIT,Robotics
Why physical AI is becoming manufacturing’s next advantage,"For decades, manufacturers have pursued automation to drive efficiency, reduce costs, and stabilize operations. That approach delivered meaningful gains, but it is no longer enough. Today’s manufacturing leaders face a different challenge: how to grow amid labor constraints, rising complexity, and increasing pressure to innovate faster without sacrificing safety, quality, or trust. The next phase…","March 14, 2026 12:16 AM (GMT+9)","artificial intelligence, sponsored",https://www.technologyreview.com/2026/03/13/1134184/why-physical-ai-is-becoming-manufacturings-next-advantage/,Yes,MIT,Robotics
Video Friday: Autonomous Robots Learn By Doing in This Factory,"

Video Friday is your weekly selection of awesome robotics videos, collected by your friends at IEEE Spectrum robotics. We also post a weekly calendar of upcoming robotics events for the next few months. Please send us your events for inclusion.ICRA 2026: 1–5 June 2026, VIENNAEnjoy today’s videos! To train the next generation of autonomous robots, scientists at Toyota Research Institute are working with Toyota Manufacturing to deploy them on the factory floor.[ Toyota Research Institute ]Thanks, Erin!This is just one story (of many) about how we tried, failed, and learned how to improve our ‪drone delivery system.Okay, but like you didn’t show the really cool bit...?[ Zipline ]We’re introducing KinetIQ, an AI framework developed by Humanoid, for end-to-end orchestration of humanoid robot fleets. KinetIQ coordinates wheeled and bipedal robots within a single system, managing both fleet-level operations and individual robot behavior across multiple environments. The framework operates across four cognitive layers, from task allocation and workflow optimization to task execution based on Vision-Language-Action models and whole-body control taught by reinforcement learning, and is shown here running across our wheeled industrial robots and bipedal R&D platform.[ Humanoid ]What if a robot gets damaged during operation? Can it still perform its mission without immediate repair? Inspired by the self-embodied resilience strategies of stick insects, we developed a decentralized adaptive resilient neural control system (DARCON). This system allows legged robots to autonomously adapt to limb loss, ensuring mission success despite mechanical failure. This innovative approach leads to a future of truly resilient, self-recovering robotics.[ VISTEC ]Thanks, Poramate!This animation shows Perseverance’s point of view during a drive of 807 feet (246 meters) along the rim of Jezero Crater on 10 December 2025, the 1,709th Martian day, or sol, of the mission. Captured over 2 hours and ","February 7, 2026 2:00 AM (GMT+9)","Autonomous-robots, Humanoid-robots, Industrial-robots, Perseverance-rover, Robot-ai, Video-friday",https://spectrum.ieee.org/autonomous-warehouse-robots,Yes,IEEE-Robotics,Robotics
Video Friday: Robot Collective Stays Alive Even When Parts Die,"

Video Friday is your weekly selection of awesome robotics videos, collected by your friends at IEEE Spectrum robotics. We also post a weekly calendar of upcoming robotics events for the next few months. Please send us your events for inclusion.ICRA 2026: 1–5 June 2026, VIENNAEnjoy today’s videos! No system is immune to failure. The compromise between reducing failures and improving adaptability is a recurring problem in robotics. Modular robots exemplify this trade-off, because the number of modules dictates both the possible functions and the odds of failure. We reverse this trend, improving reliability with an increased number of modules by exploiting redundant resources and sharing them locally.[ Science ] via [ RRL ]Now that the Atlas enterprise platform is getting to work, the research version gets one last run in the sun. Our engineers made one final push to test the limits of full-body control and mobility, with help from the RAI Institute.[ RAI ] via [ Boston Dynamics ]Announcing Isaac 0: the laundry-folding robot we’re shipping to homes, starting in February 2026 in the Bay Area.[ Weave Robotics ]In a paper published in Science, researchers at the Max Planck Institute for Intelligent Systems, the Humboldt University of Berlin, and the University of Stuttgart have discovered that the secret to the elephant’s amazing sense of touch is in its unusual whiskers. The interdisciplinary team analyzed elephant-trunk whiskers using advanced microscopy methods that revealed a form of material intelligence more sophisticated than the well-studied whiskers of rats and mice. This research has the potential to inspire new physically intelligent robotic sensing approaches that resemble the unusual whiskers that cover the elephant trunk.[ MPI ]Got an interest in autonomous mobile robots, ROS2, and a mere US $150 lying around? Try this.[ Maker's Pet ]Thanks, Ilia!We’re giving humanoid robots swords now.[ Robotera ]A system developed by researchers at the University of Wate","February 14, 2026 1:30 AM (GMT+9)","Autonomous-robots, Modular-robots, Video-friday",https://spectrum.ieee.org/video-friday-robot-collective,Yes,IEEE-Robotics,Robotics
Tech Is Taking Over Olympic Curling,"

At this year’s Winter Olympics in Italy, the controversy began with a fingertip.A disputed double-touch—whether a curler had brushed a moving stone twice—sparked protests, profanity-laced exchanges, and heated debate about sportsmanship. In a game that prides itself on mutual trust and the idea of competition as a shared test of skill, even the suggestion of impropriety can ripple far beyond a single end.But if a double-touch can shake the sport, what happens when the controversy isn’t about a fingertip but an algorithm?That’s the question shadowing the rise of analytics driven by machine learning and a new breed of AI-powered robots that can throw stones, read the ice, and calculate strategy with machine precision.RELATED: Milan-Cortina Winter Olympics Debut Next-Generation Sport SmartsSome of these robots, such a “Curly,” have already toppled elite human opponents in head-to-head competitions. Others, engineered either to replicate the biomechanics of human shot delivery or to fire stones consistently with repeatable speed and rotation, are transforming the sport by dissecting technique and strategy with a level of rigor no coach with a stopwatch could match.  Seen here in action, the two-part robot system named Curly made its debut in 2018 ahead of that year’s Paralympic Winter Games in Pyeongchang.TUBerlinTV/YouTube“The amount of innovation I’m seeing is just tremendous,” says Glenn Paulley, a retired computer scientist who now runs Throwing Rocks Consulting Services, where he coaches curlers and advises teams on analytics.Fueled by investments from governments and sporting bodies around the world, the pursuit of a competitive edge has escalated into a data-driven push for marginal gains ahead of each Olympic cycle. “They’re trying like crazy to elevate their national team programs,” Paulley says, “and they’re doing it in every way possible.” By the time medals are handed out in Cortina d’Ampezzo this weekend, the imprint of this full-throttle tech offensive c","February 19, 2026 12:00 AM (GMT+9)","Artificial-intelligence, Canada, Olympic-games, Robotics, Sports, Virtual-reality",https://spectrum.ieee.org/olympics-curling-robot-ai,Yes,IEEE-Robotics,Robotics
Video Friday: Humanoid Robots Celebrate Spring,"

Video Friday is your weekly selection of awesome robotics videos, collected by your friends at IEEE Spectrum robotics. We also post a weekly calendar of upcoming robotics events for the next few months. Please send us your events for inclusion.ICRA 2026: 1–5 June 2026, VIENNAEnjoy today’s videos! So humanoid robots are nearing peak human performance. I would point out, though, that this is likely very far from peak robot performance, which has yet to be effectively exploited, because it requires more than just copying humans.[ Unitree ]“The Street Dance of China”: Turning lightness into gravity, and rhythm into impact.This is a head-on collision between metal and beats. This Chinese New Year, watch PNDbotics Adam bring the heat with a difference.[ PNDbotics ]You had me at robot pandas.[ MagicLab ]NASA’s Perseverance rover can now precisely determine its own location on Mars without waiting for human help from Earth. This is possible thanks to a new technology called Mars global localization. This technology rapidly compares panoramic images from the rover’s navigation cameras with onboard orbital terrain maps. It’s done with an algorithm that runs on the rover’s helicopter base station processor, which was originally used to communicate with the Ingenuity Mars helicopter. In a few minutes, the algorithm can pinpoint Perseverance’s position to within about 10 inches (25 centimeters). The technology will help the rover drive farther autonomously and keep exploring. [ NASA Jet Propulsion Laboratory ]Legs? Where we’re going, we don’t need legs![ Paper ]This is a bit of a tangent from robotics, but it gets a pass because of the cute jumping spider footage.[ Berkeley Lab ]Corvus One for Cold Chain is engineered to live and operate in freezer environments permanently, down to
 –20 °F, while maintaining full-flight and barcode-scanning performance.I am sure there is an excellent reason for putting a cold-storage facility in the Mojave Desert.[ Corvus Robotics ]The video d","February 21, 2026 3:00 AM (GMT+9)","Agility-robotics, Humanoid-robots, Industrial-robotics, Insect-robots, Perseverance-rover, Video-friday",https://spectrum.ieee.org/robot-martial-arts,Yes,IEEE-Robotics,Robotics
Perseverance Smashes Autonomous Driving Record on Mars,"

This article is part of our exclusive IEEE Journal Watch series in partnership with IEEE Xplore.In past missions to Mars, like with the Curiosity and Opportunity rovers, the robots relied mostly on human instructions from millions of miles away in order to safely navigate the Martian landscape. The Perseverance rover, on the other hand, has zipped across the alien, boulder-ridden land almost completely autonomously, smashing previous records for autonomous driving on Mars. Whereas the Curiosity rover completed about 6.2 percent of its travels autonomously, Perseverance had completed about 90 percent of its travels autonomously, as of its 1,312th Martian day since landing (28 October 2024). Perseverance was able to accomplish such a feat—using remarkably little computing power—thanks to its specially designed autonomous driving algorithm, Enhanced Autonomous Navigation, or ENav. The full details on ENav’s inner workings and how well it has performed on Mars are described in a study published in IEEE Transactions on Field Robotics in November 2025. There are some advantages, but some serious challenges when it comes to autonomous navigation on Mars. On the plus side, almost nothing on the planet moves. Rocks and gravel slopes—while formidable obstacles—remain stationary, offering rovers consistency and predictability in their calculations and pathfinding. On the other hand, Mars is in large part uncharted terrain. “This enormous uncertainty is the major challenge,” says Masahiro “Hiro” Ono, supervisor of the Robotic Surface Mobility Group at NASA’s Jet Propulsion Laboratory, who helped develop ENav.Creating a Highly Autonomous Rover While some images from the space-borne Mars Reconnaissance Orbiter exist, these are usually not high enough resolution for ground-based navigation by a rover. In December, NASA engineers performed the first test of a navigation technique that uses a model based on Anthropic’s AI to analyze MRO images and generate waypoints—the coordinate","February 26, 2026 12:00 AM (GMT+9)","Autonomous-robots, Journal-watch, Mars, Perseverance-rover",https://spectrum.ieee.org/perseverance-mars-rover-autonomous-driving,Yes,IEEE-Robotics,Robotics
Video Friday: Robot Dogs Haul Produce From the Field,"

Video Friday is your weekly selection of awesome robotics videos, collected by your friends at IEEE Spectrum robotics. We also post a weekly calendar of upcoming robotics events for the next few months. Please send us your events for inclusion.ICRA 2026: 1–5 June 2026, VIENNAEnjoy today’s videos! Our robots Lynx M20 help transport harvested crops in mountainous farmland—tackling the rural “last mile” logistics challenge.[ Deep Robotics ]Once again, I would point out that now that we are reaching peak humanoid robots doing humanoid things, we are inevitably about to see humanoid robots doing nonhumanoid things.[ Unitree ]In a study, a team of researchers from the Max Planck Institute for Intelligent Systems, the University of Michigan, and Cornell University show that groups of magnetic microrobots can generate fluidic forces strong enough to rotate objects in different directions without touching them. These microrobot swarms can turn gear systems, rotate objects much larger than the robots themselves, assemble structures on their own, and even pull in or push away many small objects.[ Science ] via [ Max Planck Institute ]Bipedal—or two-legged—autonomous robots can be quite agile. This makes them useful for performing tasks on uneven terrain, such as carrying equipment through outdoor environments or performing maintenance on an oceangoing ship. However, unstable or unpredictable conditions also increase the possibility of a robot wipeout. Until now, there’s been a significant lack of research into how a robot recovers when its direction shifts—for example, a robot losing balance when a truck makes a quick turn. The team aims to fix this research gap.[ Georgia Tech ]Robotics is about controlling energy, motion, and uncertainty in the real world.[ Carnegie Mellon University ]Delicious dinner cooked by our robot Robody. We’ve asked our investors to speak about why they’re along for the ride.[ Devanthro ]Tilt-rotor aerial robots enable omnidirectional maneuvering th","February 28, 2026 3:00 AM (GMT+9)","Bipedal-robots, Farm-robots, Humanoid-robots, Quadruped-robots, Swarm-robotics, Video-friday",https://spectrum.ieee.org/quadruped-farming-robots,Yes,IEEE-Robotics,Robotics
